block_id	r	g	b	a
acacia_button	a0	56	30	32
acacia_door	b1	66	40	96
acacia_fence	99	50	2b	96
acacia_fence_gate	99	50	2b	96
acacia_leaves	29	63	0d	ff
acacia_log	58	53	49	ff
acacia_planks	99	50	2b	ff
acacia_pressure_plate	c2	6d	3f	ff
acacia_sapling	7e	98	21	64
acacia_sign	99	50	2b	50
acacia_slab	ad	5d	32	ff
acacia_stairs	ad	5d	32	ff
acacia_trapdoor	99	50	2b	c8
acacia_wall_sign	99	50	2b	0a
acacia_wood	69	62	59	ff
activator_rail	f2	00	00	78
allium	d2	a6	f6	64
ancient_debris	41	21	1b	ff
andesite	82	82	81	ff
andesite_slab	74	74	74	ff
andesite_stairs	74	74	74	ff
andesite_wall	74	74	74	e6
anvil	30	30	30	ee
attached_pumpkin_stem	93	8d	1e	64
attached_melon_stem	93	8d	1e	64
azure_bluet	f7	f7	f7	64
