block_id	r	g	b	a
bamboo	06	7f	17	ff
bamboo_sapling	65	5c	1e	64
barrel	54	3b	21	ff
basalt	43	3c	41	ff
beacon	61	fa	ef	c8
bedrock	55	55	55	ff
bee_nest	f7	ce	46	ff
beehive	c2	9d	62	ff
beetroots	18	76	1a	64
bell	ff	df	39	b4
birch_button	9e	8b	61	32
birch_door	d6	ca	8c	96
birch_fence	d7	cb	8d	96
birch_fence_gate	d7	cb	8d	96
birch_leaves	4a	5e	31	ff
birch_log	ff	ff	ff	ff
birch_planks	d7	cb	8d	ff
birch_pressure_plate	d7	c1	85	ff
birch_sapling	ac	bf	62	64
birch_sign	d7	cb	8d	50
birch_slab	c8	b7	7a	ff
birch_stairs	c8	b7	7a	ff
birch_trapdoor	d7	cb	8d	c8
birch_wall_sign	d7	cb	8d	0a
birch_wood	d8	d8	ce	ff
black_banner	7e	82	81	50
black_bed	23	23	28	ff
black_carpet	0d	0d	12	ff
black_concrete	01	02	05	ff
black_concrete_powder	01	02	05	ff
black_glazed_terracotta	22	22	2a	ff
black_shulker_box	14	14	19	ff
black_stained_glass	9f	9f	a0	96
black_stained_glass_pane	16	16	16	0a
black_terracotta	1d	0d	04	ff
black_wall_banner	7e	82	81	0a
black_wool	0d	0d	12	ff
blast_furnace	57	56	56	ff
blue_banner	7e	82	81	50
blue_bed	3a	4d	a5	ff
blue_carpet	28	2b	91	ff
blue_concrete	28	2a	90	ff
blue_concrete_powder	28	2a	90	ff
blue_glazed_terracotta	28	2a	90	ff
blue_ice	6f	9d	fa	ff
blue_orchid	27	a9	f4	64
blue_shulker_box	2e	30	99	ff
blue_stained_glass	a9	b3	dc	96
blue_stained_glass_pane	12	3a	91	0a
blue_terracotta	46	36	58	ff
blue_wall_banner	7e	82	81	0a
blue_wool	28	2b	91	ff
bone_block	ba	ba	aa	ff
bookshelf	b4	91	52	ff
brain_coral	e4	7e	b9	c8
brain_coral_block	e4	7e	b9	ff
brain_coral_fan	e4	7e	b9	c8
brain_coral_wall_fan	e4	7e	b9	ff
brewing_stand	b8	69	23	ff
brick_slab	9b	56	43	ff
brick_stairs	9b	56	43	ff
brick_wall	8f	50	3f	e6
bricks	c2	57	47	ff
brown_banner	7e	82	81	50
brown_bed	8f	5b	35	ff
brown_carpet	69	3f	1f	ff
brown_concrete	61	3a	1a	ff
brown_concrete_powder	61	3a	1a	ff
brown_glazed_terracotta	84	54	2f	ff
brown_mushroom	da	99	76	64
brown_mushroom_block	9d	70	50	ff
brown_mushroom_stem	c2	bc	ac	ff
brown_shulker_box	66	3d	1d	ff
brown_stained_glass	bd	b3	aa	96
brown_stained_glass_pane	55	3a	0e	0a
brown_terracotta	4d	30	1e	ff
brown_wall_banner	7e	82	81	0a
brown_wool	69	3f	1f	ff
bubble_column	34	56	9b	96
bubble_coral	a5	1d	a5	c8
bubble_coral_block	a5	1d	a5	ff
bubble_coral_fan	a5	1d	a5	c8
bubble_coral_wall_fan	a5	1d	a5	c8
