block_id	r	g	b	a
cactus	2d	9c	33	ff
cake	f9	f5	f8	ff
campfire	f0	ce	56	ff
carrots	00	9f	30	64
cartography_table	4a	2e	15	ff
carved_pumpkin	ef	8f	20	ff
cauldron	41	41	41	ff
chain_command_block	88	c0	a7	ff
chest	a5	74	2a	ff
chipped_anvil	42	42	42	ff
chiseled_quartz_block	ee	ea	e6	ff
chiseled_red_sandstone	9f	4e	0b	ff
chiseled_sandstone	d1	ba	8a	ff
chiseled_stone_bricks	5a	59	5a	ff
chorus_flower	af	6a	9f	ff
chorus_plant	51	00	46	ff
clay	80	85	8e	ff
coal_block	10	0d	0d	ff
coal_ore	52	52	52	ff
coarse_dirt	61	3f	29	ff
cobblestone	89	88	89	ff
cobblestone_slab	88	87	88	ff
cobblestone_stairs	88	87	88	ff
cobblestone_wall	6e	6d	6d	e6
cobweb	cc	cc	cc	c8
cocoa	cc	7a	3a	64
command_block	a6	60	30	ff
comparator	d3	00	00	ff
composter	51	30	16	ff
conduit	80	74	50	64
cornflower	46	6a	eb	64
cracked_stone_bricks	7f	7f	7f	ff
crafting_table	bc	64	37	ff
creeper_head	6a	c7	62	96
creeper_wall_head	6a	c7	62	96
crimson_door	84	3d	59	96
crimson_fungi	94	18	18	64
crimson_nylium	94	18	18	ff
crimson_stem	52	18	10	ff
cut_red_sandstone	9f	4e	0b	ff
cut_red_sandstone_slab	9f	4e	0b	ff
cut_red_sandstone_stairs	9f	4e	0b	ff
cut_sandstone	e3	db	b0	ff
cut_sandstone_slab	e3	db	b0	ff
cut_sandstone_stairs	e3	db	b0	ff
cyan_banner	7e	82	81	50
cyan_bed	10	88	87	ff
cyan_carpet	0d	7f	8c	ff
cyan_concrete	0f	79	8a	ff
cyan_concrete_powder	0f	79	8a	ff
cyan_glazed_terracotta	0f	9d	9d	ff
cyan_shulker_box	0f	87	92	ff
cyan_stained_glass	b3	c7	d2	96
cyan_stained_glass_pane	3a	70	7a	0a
cyan_terracotta	52	58	58	ff
cyan_wall_banner	7e	82	81	0a
cyan_wool	0d	7f	8c	ff
