block_id	r	g	b	a
damaged_anvil	5a	5a	5a	ff
dandelion	ff	ec	4f	64
dark_oak_button	53	38	1a	32
dark_oak_door	44	2c	16	96
dark_oak_fence	3e	29	12	96
dark_oak_fence_gate	3e	29	12	96
dark_oak_leaves	21	54	0b	ff
dark_oak_log	29	20	11	ff
dark_oak_planks	3e	29	12	ff
dark_oak_pressure_plate	3e	29	12	ff
dark_oak_sapling	1f	65	19	64
dark_oak_sign	3e	29	12	50
dark_oak_slab	4f	32	18	ff
dark_oak_stairs	4f	32	18	ff
dark_oak_trapdoor	3e	29	12	c8
dark_oak_wall_sign	3e	29	12	0a
dark_oak_wood	3f	31	1d	ff
dark_prismarine	3f	6d	5c	ff
dark_prismarine_slab	27	3e	36	ff
dark_prismarine_stairs	27	3e	36	ff
daylight_detector	dc	d2	c0	ff
dead_brain_coral	74	6a	66	c8
dead_brain_coral_block	74	6a	66	ff
dead_brain_coral_fan	74	6a	66	c8
dead_brain_coral_wall_fan	74	6a	66	c8
dead_bubble_coral	99	93	8d	c8
dead_bubble_coral_block	99	93	8d	ff
dead_bubble_coral_fan	99	93	8d	c8
dead_bubble_coral_wall_fan	99	93	8d	c8
dead_bush	af	71	2c	ff
dead_fire_coral	86	7b	77	c8
dead_fire_coral_block	86	7b	77	ff
dead_fire_coral_fan	86	7b	77	c8
dead_fire_coral_wall_fan	86	7b	77	c8
dead_horn_coral	99	93	8d	c8
dead_horn_coral_block	99	93	8d	ff
dead_horn_coral_fan	99	93	8d	c8
dead_horn_coral_wall_fan	99	93	8d	c8
dead_tube_coral	a4	a0	9c	c8
dead_tube_coral_block	a4	a0	9c	ff
dead_tube_coral_fan	a4	a0	9c	c8
dead_tube_coral_wall_fan	a4	a0	9c	c8
detector_rail	7c	00	06	78
diamond_block	00	d2	c2	ff
diamond_ore	7a	9e	99	ff
diorite	e3	e3	e3	ff
diorite_slab	ce	ce	cf	ff
diorite_stairs	ce	ce	cf	ff
diorite_wall	be	bf	c1	e6
dirt	9f	6b	49	ff
dispenser	86	86	86	ff
dragon_egg	14	00	16	ff
dragon_head	0f	0f	0f	96
dragon_wall_head	0f	0f	0f	96
dried_kelp_block	23	3b	20	ff
dropper	75	75	75	ff
