block_id	r	g	b	a
glass	c1	e8	e5	96
glass_pane	a4	f3	fa	0a
glowstone	ce	b8	5d	ff
gold_block	ff	d8	3e	ff
gold_ore	aa	8f	64	ff
granite	b5	78	65	ff
granite_slab	9f	6b	58	ff
granite_stairs	9f	6b	58	ff
granite_wall	5f	40	34	e6
grass	48	6b	3e	64
grass_block	50	7b	46	ff
grass_path	94	77	3f	ff
gravel	83	7f	7e	ff
gray_banner	7e	82	81	50
gray_bed	62	71	73	ff
gray_carpet	38	3d	40	ff
gray_concrete	33	37	3b	ff
gray_concrete_powder	33	37	3b	ff
gray_glazed_terracotta	60	73	78	ff
gray_shulker_box	3b	40	44	ff
gray_stained_glass	b3	b3	b4	96
gray_stained_glass_pane	3a	3a	3a	0a
gray_terracotta	34	24	19	ff
gray_wall_banner	7e	82	81	0a
gray_wool	38	3d	40	ff
green_banner	7e	82	81	50
green_bed	60	81	16	ff
green_carpet	59	75	0f	ff
green_concrete	48	5a	1f	ff
green_concrete_powder	48	5a	1f	ff
green_glazed_terracotta	48	5b	1f	ff
green_shulker_box	52	6a	18	ff
green_stained_glass	bd	c7	aa	96
green_stained_glass_pane	5e	75	12	0a
green_terracotta	47	4e	21	ff
green_wall_banner	7e	82	81	0a
green_wool	59	75	0f	ff
grindstone	8f	8f	8f	ff
