block_id	r	g	b	a
magenta_banner	7e	82	81	50
magenta_bed	bd	3c	b4	ff
magenta_carpet	b4	38	aa	ff
magenta_concrete	a8	2b	9e	ff
magenta_concrete_powder	a8	2b	9e	ff
magenta_glazed_terracotta	aa	2d	a0	ff
magenta_shulker_box	ac	2e	a2	ff
magenta_stained_glass	eb	c7	aa	96
magenta_stained_glass_pane	91	3a	d0	0a
magenta_terracotta	97	59	6b	ff
magenta_wall_banner	7e	82	81	0a
magenta_wool	b4	38	aa	ff
magma_block	9b	54	16	ff
melon	50	9f	2a	ff
melon_stem	60	5a	03	32
mossy_cobblestone	6b	83	63	ff
mossy_cobblestone_slab	52	5d	39	ff
mossy_cobblestone_stairs	52	5d	39	ff
mossy_cobblestone_wall	44	50	30	e6
mossy_stone_brick_slab	62	79	41	ff
mossy_stone_brick_stairs	62	79	41	ff
mossy_stone_brick_wall	37	44	24	e6
mossy_stone_bricks	78	76	78	ff
moving_piston	73	73	73	c8
mushroom_stem	97	72	51	ff
mycelium	67	5b	58	ff
