block_id	r	g	b	a
oak_button	c2	9d	62	32
oak_door	b2	94	57	96
oak_fence	af	8f	55	96
oak_fence_gate	af	8f	55	96
oak_leaves	00	72	19	ff
oak_log	62	4a	2a	ff
oak_planks	af	8f	55	ff
oak_pressure_plate	af	8f	55	ff
oak_sapling	57	ad	3f	64
oak_sign	af	8f	55	50
oak_slab	9f	84	4d	ff
oak_stairs	9f	84	4d	ff
oak_trapdoor	af	8f	55	c8
oak_wall_sign	af	8f	55	0a
oak_wood	74	5a	36	ff
observer	64	64	64	ff
obsidian	0b	00	16	ff
orange_banner	7e	82	81	50
orange_bed	ff	81	18	ff
orange_carpet	f9	85	1a	ff
orange_concrete	e0	60	00	ff
orange_concrete_powder	e0	60	00	ff
orange_glazed_terracotta	e2	61	00	ff
orange_shulker_box	f5	75	07	ff
orange_stained_glass	fb	fb	fc	96
orange_stained_glass_pane	c6	75	11	0a
orange_terracotta	9e	4f	1b	ff
orange_tulip	f1	9d	25	64
orange_wall_banner	7e	82	81	0a
orange_wool	f9	85	1a	ff
oxeye_daisy	f7	f7	f7	64
