block_id	r	g	b	a
packed_ice	7e	9d	f8	ff
peony	e4	af	f4	64
petrified_oak_slab	b8	94	5f	ff
petrified_oak_stairs	b8	94	5f	ff
pink_banner	7e	82	81	50
pink_bed	f6	89	ac	ff
pink_carpet	f1	85	a6	ff
pink_concrete	d7	65	90	ff
pink_concrete_powder	d7	65	90	ff
pink_glazed_terracotta	f4	98	b4	ff
pink_shulker_box	f3	8a	a9	ff
pink_stained_glass	f5	c7	d8	96
pink_stained_glass_pane	df	75	80	0a
pink_terracotta	9e	4a	4a	ff
pink_tulip	eb	c5	fd	64
pink_wall_banner	7e	82	81	0a
pink_wool	f1	85	a6	ff
piston	3f	3f	40	ff
piston_head	b3	8c	51	96
player_head	3a	21	09	96
player_wall_head	3a	21	09	96
podzol	51	4b	11	ff
polished_andesite	86	88	87	ff
polished_andesite_slab	86	88	87	ff
polished_andesite_stairs	86	88	87	ff
polished_diorite	ba	bb	c0	ff
polished_diorite_slab	ba	bb	c0	ff
polished_diorite_stairs	ba	bb	c0	ff
polished_granite	b5	78	65	ff
polished_granite_slab	92	62	51	ff
polished_granite_stairs	92	62	51	ff
poppy	ed	30	2c	64
potatoes	00	be	3a	64
potted_acacia_sapling	7e	98	21	64
potted_allium	b8	78	ed	64
potted_azure_bluet	ff	ec	4f	64
potted_bamboo	3d	63	17	64
potted_birch_sapling	6c	9e	38	64
potted_blue_orchid	2a	bf	fd	64
potted_brown_mushroom	cc	99	78	64
potted_cactus	64	98	32	64
potted_cornflower	46	6a	eb	64
potted_dandelion	bd	6a	22	64
potted_dark_oak_sapling	10	52	10	64
potted_dead_bush	b1	7a	36	64
potted_fern	50	78	46	64
potted_jungle_sapling	37	80	20	64
potted_lily_of_the_valley	d8	d8	d8	64
potted_oak_sapling	1f	65	19	64
potted_orange_tulip	f1	9d	25	64
potted_oxeye_daisy	d6	e8	e8	64
potted_pink_tulip	eb	c5	fd	64
potted_poppy	ed	30	2c	64
potted_red_mushroom	fe	2a	2a	64
potted_red_tulip	ed	30	2c	64
potted_spruce_sapling	39	5a	39	64
potted_white_tulip	9b	bd	bd	64
potted_wither_rose	2a	1f	19	64
powered_rail	9e	42	26	78
prismarine	5e	a4	96	ff
prismarine_brick_slab	5a	af	a4	ff
prismarine_brick_stairs	5a	af	a4	ff
prismarine_bricks	6e	b9	ae	ff
prismarine_slab	5e	a4	96	ff
prismarine_stairs	5e	a4	96	ff
prismarine_wall	41	81	6a	e6
pumpkin	f4	86	00	ff
pumpkin_stem	93	8d	1e	64
purple_banner	7e	82	81	50
purple_bed	8b	30	bd	ff
purple_carpet	74	21	a7	ff
purple_concrete	65	1a	9e	ff
purple_concrete_powder	65	1a	9e	ff
purple_glazed_terracotta	64	19	9d	ff
purple_shulker_box	74	26	a9	ff
purple_stained_glass	c7	ad	dc	96
purple_stained_glass_pane	75	1f	91	0a
purple_terracotta	74	41	52	ff
purple_wall_banner	7e	82	81	0a
purple_wool	74	21	a7	ff
purpur_block	b2	86	b2	ff
purpur_pillar	90	65	90	ff
purpur_slab	ac	7b	ac	ff
purpur_stairs	ac	7b	ac	ff
