block_id	r	g	b	a
rail	6f	7d	6f	78
red_banner	7e	82	81	50
red_bed	b5	31	29	ff
red_carpet	97	1e	1b	ff
red_concrete	90	1b	1b	ff
red_concrete_powder	90	1b	1b	ff
red_glazed_terracotta	b1	2a	21	ff
red_mushroom	fe	2a	2a	64
red_mushroom_block	dc	00	1a	ff
red_mushroom_stem	c7	c1	b4	ff
red_nether_brick_slab	56	0e	10	ff
red_nether_brick_stairs	56	0e	10	ff
red_nether_brick_wall	34	01	03	e6
red_nether_bricks	2e	00	01	ff
red_sand	d2	75	2b	ff
red_sandstone	d2	75	2b	ff
red_sandstone_slab	d2	75	2b	ff
red_sandstone_stairs	d2	75	2b	ff
red_sandstone_wall	c0	68	22	e6
red_shulker_box	9d	20	1d	ff
red_stained_glass	c2	95	96	96
red_stained_glass_pane	7a	0e	0e	0a
red_terracotta	8c	35	26	ff
red_tulip	ff	45	40	64
red_wall_banner	7e	82	81	0a
red_wool	97	1e	1b	ff
redstone_block	9b	00	00	ff
redstone_lamp	94	69	31	ff
redstone_ore	a0	50	54	ff
redstone_torch	ff	e6	08	64
redstone_wall_torch	ff	e6	08	64
redstone_wire	ff	00	00	64
repeater	85	04	04	ff
repeating_command_block	55	3b	9b	ff
rose_bush	bf	25	29	64
