block_id	r	g	b	a
sand	d3	be	8b	ff
sandstone	dc	d6	a4	ff
sandstone_slab	e7	e4	bb	ff
sandstone_stairs	e7	e4	bb	ff
sandstone_wall	e7	e4	bb	e6
scaffolding	84	58	35	e6
sea_lantern	cb	dd	d6	ff
sea_pickle	38	44	17	78
seagrass	34	96	9b	c8
shroomlight	df	7b	42	ff
shulker_box	98	69	98	ff
skeleton_skull	d3	d3	d3	ff
skeleton_wall_skull	d3	d3	d3	ff
skull	3a	21	09	96
slime_block	9e	d5	8e	c8
smithing_table	1e	1e	23	ff
smoker	73	72	72	ff
smooth_quartz	ee	ea	e6	ff
smooth_quartz_slab	ee	e6	de	ff
smooth_quartz_stairs	ee	e6	de	ff
smooth_red_sandstone	bb	66	22	ff
smooth_red_sandstone_slab	bb	66	22	ff
smooth_red_sandstone_stairs	bb	66	22	ff
smooth_sandstone	e3	db	b0	ff
smooth_sandstone_slab	e3	db	b0	ff
smooth_sandstone_stairs	e3	db	b0	ff
smooth_stone	a2	a2	a2	ff
smooth_stone_slab	a8	a8	a8	ff
smooth_stone_stairs	a8	a8	a8	ff
snow	e7	f9	f8	ff
snow_block	ef	fa	f9	ff
soul_fire	49	f0	f5	ff
soul_fire_lantern	49	50	65	ff
soul_fire_torch	49	f0	f5	64
soul_fire_wall_torch	49	f0	f5	64
soul_sand	46	31	28	ff
soul_soil	61	45	37	ff
spawner	2a	24	35	c8
sponge	96	a8	46	ff
spruce_button	88	65	39	32
spruce_door	61	4b	2e	96
spruce_fence	5a	44	24	96
spruce_fence_gate	5a	44	24	96
spruce_leaves	17	24	17	ff
spruce_log	3b	27	13	ff
spruce_planks	5a	44	24	ff
spruce_pressure_plate	70	52	2e	ff
spruce_sapling	22	35	22	64
spruce_sign	5a	44	24	50
spruce_slab	61	4b	2e	ff
spruce_stairs	61	4b	2e	ff
spruce_trapdoor	5a	44	24	c8
spruce_wall_sign	5a	44	24	0a
spruce_wood	2e	1c	0a	ff
sticky_piston	5e	9c	4f	ff
stone	75	75	75	ff
stone_brick_slab	78	76	78	ff
stone_brick_stairs	78	76	78	ff
stone_brick_wall	78	76	78	e6
stone_bricks	7f	7f	7f	ff
stone_button	74	74	74	32
stone_pressure_plate	7f	7f	7f	ff
stone_slab	7f	7f	7f	ff
stone_stairs	7f	7f	7f	ff
stonecutter	73	73	73	ff
stripped_acacia_log	a9	5d	3b	ff
stripped_acacia_wood	a9	5d	3b	ff
stripped_birch_log	c8	b0	76	ff
stripped_birch_wood	c8	b0	76	ff
stripped_crimson_stem	89	39	5b	ff
stripped_dark_oak_log	63	4e	32	ff
stripped_dark_oak_wood	63	4e	32	ff
stripped_jungle_log	bb	8d	61	ff
stripped_jungle_wood	bb	8d	61	ff
stripped_oak_log	ae	8e	52	ff
stripped_oak_wood	ae	8e	52	ff
stripped_spruce_log	79	5b	37	ff
stripped_spruce_wood	79	5b	37	ff
stripped_warped_stem	31	8b	85	ff
structure_block	1f	15	20	ff
structure_void	5b	77	7a	64
sugar_cane	00	b4	3a	64
sunflower	ff	e3	39	64
sweet_berry_bush	4d	03	17	ff
