block_id	r	g	b	a
wall_torch	ff	e8	0a	64
warped_door	39	8c	8a	96
warped_fungi	16	7e	86	64
warped_nylium	16	61	5b	ff
warped_stem	44	21	31	ff
warped_wart_block	19	63	67	ff
water	34	56	9b	96
weeping_vines	5a	00	00	ff
weeping_vines_plant	5a	00	00	ff
wet_sponge	c1	bc	4e	ff
wheat	e2	c3	64	ff
white_banner	7e	82	81	50
white_bed	c2	c2	c2	ff
white_carpet	d4	da	db	ff
white_concrete	d2	d7	d8	ff
white_concrete_powder	d2	d7	d8	ff
white_glazed_terracotta	fe	dd	56	ff
white_shulker_box	e7	eb	eb	ff
white_stained_glass	eb	eb	eb	96
white_stained_glass_pane	eb	eb	eb	0a
white_terracotta	cf	b1	9f	ff
white_tulip	d6	e8	e8	64
white_wall_banner	7e	82	81	0a
white_wool	d4	da	db	ff
wither_rose	21	1a	16	64
wither_skeleton_skull	34	34	34	ff
wither_skeleton_wall_skull	34	34	34	ff
