block_id	color
minecraft:bamboo	#067f17
minecraft:bamboo_block	#758639
minecraft:bamboo_button	#75863932
minecraft:bamboo_door	#75863996
minecraft:bamboo_fence	#75863996
minecraft:bamboo_fence_gate	#75863996
minecraft:bamboo_hanging_sign	#dac87e50
minecraft:bamboo_mosaic	#b1a044
minecraft:bamboo_mosaic_slab	#b1a044
minecraft:bamboo_mosaic_stairs	#b1a044
minecraft:bamboo_planks	#dac87e
minecraft:bamboo_pressure_plate	#bba649
minecraft:bamboo_sapling	#655c1e64
minecraft:bamboo_sign	#dac87e50
minecraft:bamboo_slab	#bba649
minecraft:bamboo_stairs	#bba649
minecraft:bamboo_trapdoor	#bba649c8
minecraft:bamboo_wall_hanging_sign	#dac87e0a
minecraft:bamboo_wall_sign	#dac87e0a
minecraft:barrel	#543b21
minecraft:barrier	#0000
minecraft:basalt	#3a3b48
minecraft:beacon	#61faefc8
minecraft:bedrock	#555555
minecraft:bee_nest	#f7ce46
minecraft:beehive	#c29d62
minecraft:beetroots	#18761a64
minecraft:bell	#ffdf39b4
minecraft:big_dripleaf	#84a83c
minecraft:big_dripleaf_stem	#84a83c64
minecraft:birch_button	#9e8b6132
minecraft:birch_door	#d6ca8c96
minecraft:birch_fence	#d7cb8d96
minecraft:birch_fence_gate	#d7cb8d96
minecraft:birch_hanging_sign	#d7cb8d50
minecraft:birch_leaves	#4a5e31
minecraft:birch_log	#ffffff
minecraft:birch_planks	#d7cb8d
minecraft:birch_pressure_plate	#d7c185
minecraft:birch_sapling	#acbf6264
minecraft:birch_sign	#d7cb8d50
minecraft:birch_slab	#c8b77a
minecraft:birch_stairs	#c8b77a
minecraft:birch_trapdoor	#d7cb8dc8
minecraft:birch_wall_hanging_sign	#d7cb8d0a
minecraft:birch_wall_sign	#d7cb8d0a
minecraft:birch_wood	#d8d8ce
minecraft:black_banner	#7e828150
minecraft:black_bed	#232328
minecraft:black_candle	#00000078
minecraft:black_candle_cake	#303030
minecraft:black_carpet	#0d0d12
minecraft:black_concrete	#010205
minecraft:black_concrete_powder	#010205
minecraft:black_glazed_terracotta	#22222a
minecraft:black_shulker_box	#141419
minecraft:black_stained_glass	#9f9fa096
minecraft:black_stained_glass_pane	#1616160a
minecraft:black_terracotta	#1d0d04
minecraft:black_wall_banner	#7e82810a
minecraft:black_wool	#0d0d12
minecraft:blackstone	#1f121b
minecraft:blackstone_slab	#1f121b
minecraft:blackstone_stairs	#1f121b
minecraft:blackstone_wall	#1f121b
minecraft:blast_furnace	#575656
minecraft:blue_banner	#7e828150
minecraft:blue_bed	#3a4da5
minecraft:blue_candle	#5982ce78
minecraft:blue_candle_cake	#89b2ff
minecraft:blue_carpet	#282b91
minecraft:blue_concrete	#282a90
minecraft:blue_concrete_powder	#282a90
minecraft:blue_glazed_terracotta	#282a90
minecraft:blue_ice	#6f9dfa
minecraft:blue_orchid	#27a9f464
minecraft:blue_shulker_box	#2e3099
minecraft:blue_stained_glass	#a9b3dc96
minecraft:blue_stained_glass_pane	#123a910a
minecraft:blue_terracotta	#463658
minecraft:blue_wall_banner	#7e82810a
minecraft:blue_wool	#282b91
minecraft:bone_block	#babaaa
minecraft:bookshelf	#b49152
minecraft:brain_coral	#e47eb9c8
minecraft:brain_coral_block	#e47eb9
minecraft:brain_coral_fan	#e47eb9c8
minecraft:brain_coral_wall_fan	#e47eb9
minecraft:brewing_stand	#b86923
minecraft:brick_slab	#9b5643
minecraft:brick_stairs	#9b5643
minecraft:brick_wall	#8f503fe6
minecraft:bricks	#c25747
minecraft:brown_banner	#7e828150
minecraft:brown_bed	#8f5b35
minecraft:brown_candle	#aa6d4178
minecraft:brown_candle_cake	#da9d71
minecraft:brown_carpet	#693f1f
minecraft:brown_concrete	#613a1a
minecraft:brown_concrete_powder	#613a1a
minecraft:brown_glazed_terracotta	#84542f
minecraft:brown_mushroom	#da997664
minecraft:brown_mushroom_block	#9d7050
minecraft:brown_shulker_box	#663d1d
minecraft:brown_stained_glass	#bdb3aa96
minecraft:brown_stained_glass_pane	#553a0e0a
minecraft:brown_terracotta	#4d301e
minecraft:brown_wall_banner	#7e82810a
minecraft:brown_wool	#693f1f
minecraft:bubble_column	#34569b96
minecraft:bubble_coral	#a51da5c8
minecraft:bubble_coral_block	#a51da5
minecraft:bubble_coral_fan	#a51da5c8
minecraft:bubble_coral_wall_fan	#a51da5c8
minecraft:budding_amethyst	#64479e
