block_id	color
minecraft:damaged_anvil	#5a5a5a
minecraft:dandelion	#ffec4f64
minecraft:dark_oak_button	#53381a32
minecraft:dark_oak_door	#442c1696
minecraft:dark_oak_fence	#3e291296
minecraft:dark_oak_fence_gate	#3e291296
minecraft:dark_oak_hanging_sign	#442c1650
minecraft:dark_oak_leaves	#21540b
minecraft:dark_oak_log	#292011
minecraft:dark_oak_planks	#3e2912
minecraft:dark_oak_pressure_plate	#3e2912
minecraft:dark_oak_sapling	#1f651964
minecraft:dark_oak_sign	#3e291250
minecraft:dark_oak_slab	#4f3218
minecraft:dark_oak_stairs	#4f3218
minecraft:dark_oak_trapdoor	#3e2912c8
minecraft:dark_oak_wall_hanging_sign	#3e291250
minecraft:dark_oak_wall_sign	#3e29120a
minecraft:dark_oak_wood	#3f311d
minecraft:dark_prismarine	#3f6d5c
minecraft:dark_prismarine_slab	#273e36
minecraft:dark_prismarine_stairs	#273e36
minecraft:daylight_detector	#dcd2c0
minecraft:dead_brain_coral	#746a66c8
minecraft:dead_brain_coral_block	#746a66
minecraft:dead_brain_coral_fan	#746a66c8
minecraft:dead_brain_coral_wall_fan	#746a66c8
minecraft:dead_bubble_coral	#99938dc8
minecraft:dead_bubble_coral_block	#99938d
minecraft:dead_bubble_coral_fan	#99938dc8
minecraft:dead_bubble_coral_wall_fan	#99938dc8
minecraft:dead_bush	#af712c
minecraft:dead_fire_coral	#867b77c8
minecraft:dead_fire_coral_block	#867b77
minecraft:dead_fire_coral_fan	#867b77c8
minecraft:dead_fire_coral_wall_fan	#867b77c8
minecraft:dead_horn_coral	#99938dc8
minecraft:dead_horn_coral_block	#99938d
minecraft:dead_horn_coral_fan	#99938dc8
minecraft:dead_horn_coral_wall_fan	#99938dc8
minecraft:dead_tube_coral	#a4a09cc8
minecraft:dead_tube_coral_block	#a4a09c
minecraft:dead_tube_coral_fan	#a4a09cc8
minecraft:dead_tube_coral_wall_fan	#a4a09cc8
minecraft:decorated_pot	#884c3e
minecraft:deepslate	#454549
minecraft:deepslate_brick_slab	#47484a
minecraft:deepslate_brick_stairs	#47484a
minecraft:deepslate_brick_wall	#47484ae6
minecraft:deepslate_bricks	#47484a
minecraft:deepslate_coal_ore	#34343a
minecraft:deepslate_copper_ore	#545a5d
minecraft:deepslate_diamond_ore	#2c4c4a
minecraft:deepslate_emerald_ore	#183122
minecraft:deepslate_gold_ore	#414342
minecraft:deepslate_iron_ore	#393330
minecraft:deepslate_lapis_ore	#21365f
minecraft:deepslate_redstone_ore	#401d20
minecraft:deepslate_tile_slab	#2b2b2b
minecraft:deepslate_tile_stairs	#2b2b2b
minecraft:deepslate_tile_wall	#2b2b2be6
minecraft:deepslate_tiles	#2b2b2b
minecraft:detector_rail	#7c000678
minecraft:diamond_block	#00d2c2
minecraft:diamond_ore	#7a9e99
minecraft:diorite	#e3e3e3
minecraft:diorite_slab	#cececf
minecraft:diorite_stairs	#cececf
minecraft:diorite_wall	#bebfc1e6
minecraft:dirt	#9f6b49
minecraft:dirt_path	#94773f
minecraft:dispenser	#868686
minecraft:dragon_egg	#140016
minecraft:dragon_head	#0f0f0f96
minecraft:dragon_wall_head	#0f0f0f96
minecraft:dried_kelp_block	#233b20
minecraft:dripstone_block	#70524e
minecraft:dropper	#757575
