block_id	color
minecraft:gilded_blackstone	#312c36ff
minecraft:glass	#c1e8e596
minecraft:glass_pane	#a4f3fa0a
minecraft:glowstone	#ceb85dff
minecraft:gold_block	#ffd83eff
minecraft:gold_ore	#aa8f64ff
minecraft:granite	#b57865ff
minecraft:granite_slab	#9f6b58ff
minecraft:granite_stairs	#9f6b58ff
minecraft:granite_wall	#5f4034e6
minecraft:grass_block	#507b46ff
minecraft:gravel	#837f7eff
minecraft:gray_banner	#7e828150
minecraft:gray_bed	#627173ff
minecraft:gray_candle	#61707278
minecraft:gray_candle_cake	#91a0a2ff
minecraft:gray_carpet	#383d40ff
minecraft:gray_concrete	#33373bff
minecraft:gray_concrete_powder	#33373bff
minecraft:gray_glazed_terracotta	#607378ff
minecraft:gray_shulker_box	#3b4044ff
minecraft:gray_stained_glass	#b3b3b496
minecraft:gray_stained_glass_pane	#3a3a3a0a
minecraft:gray_terracotta	#342419ff
minecraft:gray_wall_banner	#7e82810a
minecraft:gray_wool	#383d40ff
minecraft:green_banner	#7e828150
minecraft:green_bed	#608116ff
minecraft:green_candle	#5f7f1678
minecraft:green_candle_cake	#8faf46ff
minecraft:green_carpet	#59750fff
minecraft:green_concrete	#485a1fff
minecraft:green_concrete_powder	#485a1fff
minecraft:green_glazed_terracotta	#485b1fff
minecraft:green_shulker_box	#526a18ff
minecraft:green_stained_glass	#bdc7aa96
minecraft:green_stained_glass_pane	#5e75120a
minecraft:green_terracotta	#474e21ff
minecraft:green_wall_banner	#7e82810a
minecraft:green_wool	#59750fff
minecraft:grindstone	#8f8f8fff
