block_id	color
minecraft:magenta_banner	#7e828150
minecraft:magenta_bed	#bd3cb4ff
minecraft:magenta_candle	#bb3bb278
minecraft:magenta_candle_cake	#eb6be2ff
minecraft:magenta_carpet	#b438aaff
minecraft:magenta_concrete	#a82b9eff
minecraft:magenta_concrete_powder	#a82b9eff
minecraft:magenta_glazed_terracotta	#aa2da0ff
minecraft:magenta_shulker_box	#ac2ea2ff
minecraft:magenta_stained_glass	#ebc7aa96
minecraft:magenta_stained_glass_pane	#913ad00a
minecraft:magenta_terracotta	#97596bff
minecraft:magenta_wall_banner	#7e82810a
minecraft:magenta_wool	#b438aaff
minecraft:magma_block	#9b5416ff
minecraft:medium_amethyst_bud	#64479eaa
minecraft:melon	#509f2aff
minecraft:melon_stem	#605a0332
minecraft:mossy_cobblestone	#6b8363ff
minecraft:mossy_cobblestone_slab	#525d39ff
minecraft:mossy_cobblestone_stairs	#525d39ff
minecraft:mossy_cobblestone_wall	#445030e6
minecraft:mossy_stone_brick_slab	#627941ff
minecraft:mossy_stone_brick_stairs	#627941ff
minecraft:mossy_stone_brick_wall	#374424e6
minecraft:mossy_stone_bricks	#787678ff
minecraft:moving_piston	#737373c8
minecraft:mushroom_stem	#977251ff
minecraft:mycelium	#675b58ff
