block_id	color
minecraft:nether_brick_fence	#150b0d96
minecraft:nether_brick_slab	#38181eff
minecraft:nether_brick_stairs	#38181eff
minecraft:nether_brick_wall	#190d10e6
minecraft:nether_bricks	#38181eff
minecraft:nether_gold_ore	#723232ff
minecraft:nether_portal	#3f2666aa
minecraft:nether_quartz_ore	#aa837aff
minecraft:nether_sprouts	#167e8610
minecraft:nether_wart	#860001e6
minecraft:nether_wart_block	#7b0000ff
minecraft:netherite_block	#4d494dff
minecraft:netherrack	#660019ff
minecraft:note_block	#5a3420ff
