block_id	color
minecraft:packed_ice	#7e9df8
minecraft:packed_mud	#87644c
minecraft:pale_hanging_moss	#797f7664
minecraft:pale_moss_block	#6b7069
minecraft:pale_moss_carpet	#6b7069
minecraft:pale_oak_button	#cfc4c532
minecraft:pale_oak_door	#cfc4c596
minecraft:pale_oak_fence	#cfc4c596
minecraft:pale_oak_fence_gate	#cfc4c596
minecraft:pale_oak_hanging_sign	#cfc4c550
minecraft:pale_oak_leaves	#5b5f5a
minecraft:pale_oak_log	#e4e0de
minecraft:pale_oak_planks	#cfc4c5
minecraft:pale_oak_pressure_plate	#cfc4c5
minecraft:pale_oak_sapling	#87908564
minecraft:pale_oak_sign	#cfc4c550
minecraft:pale_oak_slab	#cfc4c5
minecraft:pale_oak_stairs	#cfc4c5
minecraft:pale_oak_trapdoor	#cfc4c5
minecraft:pale_oak_wall_hanging_sign	#cfc4c50a
minecraft:pale_oak_wall_sign	#cfc4c50a
minecraft:pale_oak_wood	#cfc4c5
minecraft:pearlescent_froglight	#f5f0f0
minecraft:peony	#e4aff464
minecraft:petrified_oak_slab	#b8945f
minecraft:piglin_head	#eeb78496
minecraft:piglin_wall_head	#eeb78496
minecraft:pink_banner	#7e828150
minecraft:pink_bed	#f689ac
minecraft:pink_candle	#f387aa78
minecraft:pink_candle_cake	#ffb7da
minecraft:pink_carpet	#f185a6
minecraft:pink_concrete	#d76590
minecraft:pink_concrete_powder	#d76590
minecraft:pink_glazed_terracotta	#f498b4
minecraft:pink_petals	#f9a9d964
minecraft:pink_shulker_box	#f38aa9
minecraft:pink_stained_glass	#f5c7d896
minecraft:pink_stained_glass_pane	#df75800a
minecraft:pink_terracotta	#9e4a4a
minecraft:pink_tulip	#ebc5fd64
minecraft:pink_wall_banner	#7e82810a
minecraft:pink_wool	#f185a6
minecraft:piston	#3f3f40
minecraft:piston_head	#b38c5196
minecraft:pitcher_crop	#a5905aaa
minecraft:pitcher_plant	#7f76d364
minecraft:player_head	#3a210996
minecraft:player_wall_head	#3a210996
minecraft:podzol	#514b11
minecraft:pointed_dripstone	#917864
minecraft:polished_andesite	#868887
minecraft:polished_andesite_slab	#868887
minecraft:polished_andesite_stairs	#868887
minecraft:polished_basalt	#3a3b48
minecraft:polished_blackstone	#1f121b
minecraft:polished_blackstone_brick_slab	#1f121b
minecraft:polished_blackstone_brick_stairs	#1f121b
minecraft:polished_blackstone_brick_wall	#1f121b
minecraft:polished_blackstone_bricks	#1f121b
minecraft:polished_blackstone_button	#1f121b
minecraft:polished_blackstone_pressure_plate	#1f121b
minecraft:polished_blackstone_slab	#1f121b
minecraft:polished_blackstone_stairs	#1f121b
