block_id	color
minecraft:rail	#6f7d6f78
minecraft:red_banner	#7e828150
minecraft:red_bed	#b53129ff
minecraft:red_candle	#d0372d78
minecraft:red_candle_cake	#ff675dff
minecraft:red_carpet	#971e1bff
minecraft:red_concrete	#901b1bff
minecraft:red_concrete_powder	#901b1bff
minecraft:red_glazed_terracotta	#b12a21ff
minecraft:red_mushroom	#fe2a2a64
minecraft:red_mushroom_block	#dc001aff
minecraft:red_nether_brick_slab	#560e10ff
minecraft:red_nether_brick_stairs	#560e10ff
minecraft:red_nether_brick_wall	#340103e6
minecraft:red_nether_bricks	#2e0001ff
minecraft:red_sand	#d2752bff
minecraft:red_sandstone	#d2752bff
minecraft:red_sandstone_slab	#d2752bff
minecraft:red_sandstone_stairs	#d2752bff
minecraft:red_sandstone_wall	#c06822e6
minecraft:red_shulker_box	#9d201dff
minecraft:red_stained_glass	#c2959696
minecraft:red_stained_glass_pane	#7a0e0e0a
minecraft:red_terracotta	#8c3526ff
minecraft:red_tulip	#ff454064
minecraft:red_wall_banner	#7e82810a
minecraft:red_wool	#971e1bff
minecraft:redstone_block	#9b0000ff
minecraft:redstone_lamp	#946931ff
minecraft:redstone_ore	#a05054ff
minecraft:redstone_torch	#ffe60864
minecraft:redstone_wall_torch	#ffe60864
minecraft:redstone_wire	#ff000064
minecraft:repeater	#850404ff
minecraft:repeating_command_block	#553b9bff
minecraft:respawn_anchor	#100c1cff
minecraft:rose_bush	#bf252964
