block_id	color
minecraft:tall_grass	#486b3e64
minecraft:tall_seagrass	#34969bc8
minecraft:target	#f2a7a7ff
minecraft:terracotta	#9b6045ff
minecraft:tinted_glass	#9d9c9d96
minecraft:tnt	#ca0000ff
minecraft:torch	#ffe80a32
minecraft:trapped_chest	#a5742aff
minecraft:tripwire	#d4d4d40a
minecraft:tripwire_hook	#8c8c8d64
minecraft:tube_coral	#3c85e5c8
minecraft:tube_coral_block	#3c85e5ff
minecraft:tube_coral_fan	#3c85e5c8
minecraft:tube_coral_wall_fan	#3c85e5c8
minecraft:tuff	#5c5a55ff
minecraft:turtle_egg	#f2f0d5ff
minecraft:twisting_vines	#119b8564
minecraft:twisting_vines_plant	#119b8564
