block_id	color
minecraft:wall_torch	#ffe80a32
minecraft:warped_button	#398382ff
minecraft:warped_fence_gate	#39838296
minecraft:warped_fungus	#14b48510
minecraft:warped_hyphae	#452d5cff
minecraft:warped_nylium	#167e86ff
minecraft:warped_planks	#287067ff
minecraft:warped_pressure_plate	#398382ff
minecraft:warped_roots	#14b48510
minecraft:warped_sign	#452d5c50
minecraft:warped_stairs	#398382ff
minecraft:warped_stem	#452d5cff
minecraft:warped_wall_sign	#452d5c0a
minecraft:warped_wart_block	#167e86ff
minecraft:water	#34569b96
minecraft:water_cauldron	#234a93ff
minecraft:waxed_copper	#864a34ff
minecraft:waxed_cut_copper_slab	#864a34ff
minecraft:waxed_lightly_weathered_copper	#696048ff
minecraft:waxed_lightly_weathered_cut_copper_slab	#696048ff
minecraft:waxed_lightly_weathered_cut_copper_stairs	#696048ff
minecraft:waxed_semi_weathered_copper	#66a977ff
minecraft:waxed_semi_weathered_cut_copper_stairs	#66a977ff
minecraft:weathered_copper_block	#53a178ff
minecraft:weathered_cut_copper	#53a178ff
minecraft:weathered_cut_copper_slab	#53a178ff
minecraft:weathered_cut_copper_stairs	#53a178ff
minecraft:weeping_vines	#5a000064
minecraft:weeping_vines_plant	#5a000064
minecraft:wet_sponge	#c1bc4eff
minecraft:wheat	#e2c364ff
minecraft:white_banner	#7e828150
minecraft:white_bed	#c2c2c2ff
minecraft:white_candle	#ffffff78
minecraft:white_candle_cake	#ffffffff
minecraft:white_carpet	#d4dadbff
minecraft:white_concrete	#d2d7d8ff
minecraft:white_concrete_powder	#d2d7d8ff
minecraft:white_glazed_terracotta	#fedd56ff
minecraft:white_shulker_box	#e7ebebff
minecraft:white_stained_glass	#ebebeb96
minecraft:white_stained_glass_pane	#ebebeb0a
minecraft:white_terracotta	#cfb19fff
minecraft:white_tulip	#d6e8e864
minecraft:white_wall_banner	#7e82810a
minecraft:white_wool	#d4dadbff
minecraft:wither_rose	#211a1664
minecraft:wither_skeleton_skull	#343434ff
minecraft:wither_skeleton_wall_skull	#343434ff
