block_id	color
minecraft:yellow_banner	#7e828150
minecraft:yellow_bed	#ffce29
minecraft:yellow_candle	#d7a93378
minecraft:yellow_candle_cake	#ffd963
minecraft:yellow_carpet	#ffce29
minecraft:yellow_concrete	#f2b00d
minecraft:yellow_concrete_powder	#f2b00d
minecraft:yellow_glazed_terracotta	#f3b10d
minecraft:yellow_shulker_box	#fcc81f
minecraft:yellow_stained_glass	#f1f1aa96
minecraft:yellow_stained_glass_pane	#d0d0110a
minecraft:yellow_terracotta	#b9841b
minecraft:yellow_wall_banner	#7e82810a
minecraft:yellow_wool	#f5bb15
